date,vo2max,vo2max_m,w,age_on_date,hr_est,le_est,le_est_m,le_diff
2021-03-16,63,62.22,50,24.2843607305936,0.457703775962315,86.2632807771655,86.2944882015568,-0.0142643331931254
2021-03-17,63,62.18,50,24.287100456621,0.458262393934748,86.2489958179052,86.2788853596354,-0.0142849592603085
2021-03-18,62,62.1,50,24.2898401826484,0.459354603698819,86.2210057391594,86.2605232635006,-0.0279900787458729
2021-03-19,57,61.92,50,24.2925799086758,0.461794526008164,86.1584206865379,86.2338496262253,-0.0625850526214435
2021-03-20,55,61.72,50,24.2953196347032,0.464533472529059,86.0887501329478,86.1960906307431,-0.0696705535901288
2021-03-21,56,61.52,50,24.2980593607306,0.467305848414979,86.018665733043,86.1471676219187,-0.0700843999047578
2021-03-22,59,61.38,50,24.300799086758,0.469276391208404,85.9691426719352,86.0911969927247,-0.0495230611078057
2021-03-23,61,61.3,50,24.3035388127854,0.470424065200751,85.9404455631939,86.0350849575316,-0.0286971087412553
2021-03-24,62,61.26,50,24.3062785388128,0.471016456860664,85.9257165840573,85.9885441370354,-0.0147289791366916
2021-03-25,62,61.22,50,24.3090182648402,0.471610494249647,85.9110790555013,85.9530099215462,-0.014637528555923
2021-03-26,62,61.2,50,24.3117579908676,0.471924585672306,85.9033412845233,85.9299450318422,-0.00773777097801087
2021-03-27,63,61.2,50,24.314497716895,0.47195749602123,85.9026333554475,85.9166431685447,-0.000707929075815628
2021-03-28,63,61.28,50,24.3172374429224,0.470866751805349,85.9299233571797,85.9145387273418,0.0272900017322115
2021-03-29,63,61.36,50,24.3199771689498,0.469780736201836,85.9572719009589,85.9208497907222,0.0273485437791408
2021-03-30,64,61.44,50,24.3227168949772,0.46869941865311,85.984566089786,85.9355471975791,0.0272941888270992
2021-03-31,64,61.48,50,24.3254566210046,0.468176443390551,85.9978484601832,85.954448632711,0.0132823703971781
2021-04-01,64,61.52,50,24.328196347032,0.467654484553198,86.0111200229546,85.9761459662125,0.0132715627714646
2021-04-02,64,61.56,50,24.3309360730594,0.467133539244783,86.0243807998476,85.995037454746,0.0132607768929915
2021-04-03,61,61.54,50,24.3336757990868,0.467441358017902,86.0167244785699,86.0069279702682,-0.0076563212776648
2021-04-04,61,61.52,50,24.3364155251142,0.467749657438039,86.0090613713272,86.0118270265765,-0.00766310724276309
2021-04-05,61,61.48,50,24.3391552511416,0.468335815231179,85.9944037961726,86.0111380937744,-0.0146575751545583
2021-04-06,62,61.6,50,24.341894977169,0.466707908003856,86.0355881921167,86.0160317276068,0.0411843959440716
2021-04-07,64,61.64,50,24.3446347031964,0.466188548833959,86.0488354520768,86.0209226580527,0.0132472599601527
2021-04-08,65,61.68,50,24.3473744292237,0.465670196197729,86.0620719739115,86.029992157121,0.0132365218346564
2021-04-09,66,61.82,50,24.3501141552511,0.463787223066822,86.1099813076822,86.050176144392,0.04790933377069
2021-04-10,66,61.96,50,24.3528538812785,0.461918906530585,86.1577141412646,86.0828382134103,0.0477328335823586
2021-04-11,66,62.08,50,24.3555936073059,0.460333274296395,86.1984006830497,86.115400711597,0.0406865417851634
2021-04-12,66,62.22,50,24.3583333333333,0.458491657660526,86.2459978920484,86.1548331995913,0.0475972089987096
2021-04-13,66,62.32,50,24.3610730593607,0.457193160550146,86.279582572944,86.1983353193978,0.0335846808955722
2021-04-14,66,62.4,50,24.3638127853881,0.456165113703958,86.3062761609651,86.2375942900543,0.0266935880210895
2021-04-15,66,62.46,50,24.3665525114155,0.455404024988301,86.3260949386571,86.2712704495329,0.019818777692052
2021-04-16,66,62.52,50,24.3692922374429,0.454645259989675,86.3459013052425,86.3007705739714,0.0198063665853425
2021-04-17,66,62.54,50,24.3720319634703,0.454411618155899,86.3520796322232,86.3219869220064,0.0061783269806881
2021-04-18,64,62.52,50,24.3747716894977,0.454701693624804,86.3446591828685,86.3350022439913,-0.00742044935462616
2021-04-19,63,62.48,50,24.3775114155251,0.455254807781267,86.3304086392106,86.3398287396404,-0.0142505436579086
2021-04-20,63,62.44,50,24.3802511415525,0.455809411106114,86.3161519818815,86.3378401482853,-0.0142566573291276
2021-04-21,63,62.4,50,24.3829908675799,0.456365509566932,86.3018599391699,86.3290318750707,-0.0142920427115598
2021-04-22,63,62.34,50,24.3857305936073,0.457188047843807,86.2807211441283,86.3147601774518,-0.0211387950416366
2021-04-23,63,62.38,50,24.3884703196347,0.456687192114461,86.2937680270827,86.3045819462946,0.0130468829543702
2021-04-24,63,62.44,50,24.3912100456621,0.455923439071914,86.3136466906638,86.3012295565852,0.0198786635811103
2021-04-25,63,62.48,50,24.3939497716895,0.455425030108339,86.3266661466098,86.3033323895309,0.0130194559459795
2021-04-26,64,62.56,50,24.3966894977169,0.454402936623189,86.3533075736063,86.3136219164182,0.0266414269965338
2021-04-27,64,62.68,50,24.3994292237443,0.452863987531079,86.3934476820999,86.3361672240125,0.0401401084935742
2021-04-28,63,62.74,50,24.4021689497717,0.452112015926705,86.4131737129776,86.3600483611915,0.0197260308777629
2021-04-29,63,62.8,50,24.4049086757991,0.451362328767156,86.4328731796246,86.3838936589836,0.0196994666469408
2021-04-30,64,62.86,50,24.4076484018265,0.450614915745237,86.4525461664809,86.4090696629579,0.0196729868563352
2021-05-01,64,62.92,50,24.4103881278539,0.449869766615612,86.4721927575819,86.432846699753,0.0196465911010222
2021-05-02,64,62.96,50,24.4131278538813,0.449383188216841,86.4850780069246,86.4511727647179,0.0128852493426166
2021-05-03,64,63.02,50,24.4158675799087,0.448641725818971,86.5046820325142,86.4694744286252,0.0196040255896861
2021-05-04,65,63.1,50,24.4186073059361,0.447647801045364,86.5309749906888,86.4890947908381,0.0262929581745794
2021-05-05,65,63.14,50,24.4213470319635,0.447165502700094,86.5438116335789,86.5073478842577,0.0128366428900648
2021-05-06,65,63.18,50,24.4240867579909,0.446684106245367,86.5566383552055,86.5242370037824,0.0128267216266096
2021-05-07,64,63.22,50,24.4268264840183,0.446203609211573,86.5694551747018,86.5411124373378,0.0128168194963081
2021-05-08,65,63.38,50,24.4295662100457,0.444214098117605,86.6223270615956,86.5646414431541,0.0528718868937972
2021-05-09,65,63.58,50,24.4323059360731,0.441745052906654,86.688258981303,86.5960982412769,0.0659319197073813
2021-05-10,65,63.76,50,24.4350456621005,0.439548131184322,86.7472490490454,86.6367857243702,0.0589900677423714
2021-05-11,65,63.88,50,24.4377853881279,0.438103278494627,86.7862468737989,86.6827074280889,0.0389978247535083
2021-05-12,62,63.9,50,24.4405251141553,0.437883280823676,86.7922883827649,86.7272740697015,0.00604150896607791
2021-05-13,61,63.88,50,24.4432648401827,0.438151222649451,86.7851716347911,86.7598429843406,-0.00711674797386763
2021-05-14,62,63.88,50,24.44600456621,0.438175198662182,86.7846339857003,86.7791179852201,-0.000537649090773584
2021-05-15,63,63.9,50,24.4487442922374,0.437955030537845,86.7906790076329,86.7878039769376,0.00604502193257872
2021-05-16,63,63.9,50,24.4514840182648,0.437978952334679,86.7901425100135,86.7885831041805,-0.000536497619378906
2021-05-17,63,63.9,50,24.4542237442922,0.438002876744948,86.7896059927779,86.7880466261831,-0.000536517235616429
2021-05-18,63,63.9,50,24.4569634703196,0.438026803769081,86.7890694559286,86.7888261904106,-0.000536536849295999
2021-05-19,63,63.88,50,24.459703196347,0.438295118096248,86.7819454444891,86.7882884821684,-0.00712401143948682
2021-05-20,63,63.86,50,24.4624429223744,0.438563827010068,86.7748154538825,86.7851157714183,-0.00712999060662867
2021-05-21,63,63.84,50,24.4651826484018,0.438832931357511,86.7676794757929,86.7806231645742,-0.00713597808956479
2021-05-22,64,63.84,50,24.4679223744292,0.438857047797609,86.7671392821153,86.7761298224417,-0.00054019367763658
2021-05-23,64,63.9,50,24.4706621004566,0.438146478112701,86.786386477575,86.7755932267709,0.0192471954597124
2021-05-24,65,63.98,50,24.473401826484,0.437194416489483,86.8121877344705,86.7816416847672,0.0258012568955053
2021-05-25,66,64.08,50,24.4761415525114,0.436003922965217,86.8445040142859,86.7955793968479,0.0323162798153902
2021-05-26,64,64.12,50,24.4788812785388,0.435543428762628,86.8570948013856,86.8134624619665,0.0125907870997679
2021-05-27,63,64.1,50,24.4816210045662,0.435808611124445,86.8500133013108,86.8300372658056,-0.00708150007484676
2021-05-28,63,64.06,50,24.4843607305936,0.436316657682107,86.8363598044566,86.8400319311819,-0.0136534968542037
2021-05-29,61,63.96,50,24.487100456621,0.437556872223901,86.8029428841734,86.8381829611225,-0.0334169202831873
